IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.190.230,443,443,true,FRA,Europe,Frankfurt,313,6.05
138.3.248.194,443,443,true,FRA,Europe,Frankfurt,249,6.05
140.238.64.65,80,80,false,LHR,Europe,London,264,6.04
141.148.233.248,443,443,true,FRA,Europe,Frankfurt,255,6.01
141.148.243.125,443,443,true,FRA,Europe,Frankfurt,254,6.01
158.101.211.118,443,443,true,FRA,Europe,Frankfurt,255,6.00
138.2.157.236,443,443,true,FRA,Europe,Frankfurt,250,5.99
193.123.32.63,443,443,true,FRA,Europe,Frankfurt,257,5.96
143.47.186.134,443,443,true,FRA,Europe,Frankfurt,256,5.90
89.168.85.18,443,443,true,FRA,Europe,Frankfurt,249,5.88
151.145.70.243,443,443,true,NRT,Asia Pacific,Tokyo,76,5.88
158.101.212.136,443,443,true,FRA,Europe,Frankfurt,255,5.86
138.2.122.191,443,443,true,ICN,Asia Pacific,Seoul,67,5.86
138.2.18.184,80,80,false,NRT,Asia Pacific,Tokyo,79,5.84
168.138.212.80,443,443,true,NRT,Asia Pacific,Tokyo,93,5.84
141.148.237.10,443,443,true,FRA,Europe,Frankfurt,254,5.81
152.67.135.46,443,443,true,FRA,Europe,Frankfurt,276,5.80
158.179.172.95,443,443,true,ICN,Asia Pacific,Seoul,88,5.80
140.238.64.65,80,80,false,LHR,Europe,London,247,5.79
138.2.18.184,443,443,true,NRT,Asia Pacific,Tokyo,72,5.78
164.152.17.14,443,443,true,ORD,North America,Chicago,225,5.76
129.159.197.137,8443,443,true,FRA,Europe,Frankfurt,247,5.72
143.47.247.168,443,443,true,FRA,Europe,Frankfurt,272,5.72
141.147.95.130,443,443,true,FRA,Europe,Frankfurt,279,5.59
132.226.130.255,443,443,true,FRA,Europe,Frankfurt,277,5.51
130.61.109.6,2096,443,true,FRA,Europe,Frankfurt,275,5.51
141.147.69.149,443,443,true,FRA,Europe,Frankfurt,279,5.50
143.47.255.165,443,443,true,FRA,Europe,Frankfurt,277,5.50
132.226.210.62,443,443,true,FRA,Europe,Frankfurt,269,5.50
143.47.242.67,443,443,true,FRA,Europe,Frankfurt,278,5.49
141.147.86.17,443,443,true,FRA,Europe,Frankfurt,256,5.49
141.147.70.84,443,443,true,FRA,Europe,Frankfurt,278,5.47
130.162.180.163,443,443,true,FRA,Europe,Frankfurt,279,5.46
130.162.162.80,443,443,true,FRA,Europe,Frankfurt,289,5.42
138.3.222.33,443,443,true,NRT,Asia Pacific,Tokyo,68,5.41
140.238.58.181,2053,443,true,NRT,Asia Pacific,Tokyo,80,5.41
152.70.56.150,443,443,true,FRA,Europe,Frankfurt,255,5.41
141.145.206.16,8443,443,true,CDG,Europe,Paris,251,5.38
141.147.190.128,443,443,true,NRT,Asia Pacific,Tokyo,67,5.35
130.162.187.100,443,443,true,FRA,Europe,Frankfurt,277,5.30
64.110.88.200,8443,80,false,ICN,Asia Pacific,Seoul,97,5.28
132.226.133.78,443,443,true,FRA,Europe,Frankfurt,264,5.25
132.226.133.187,443,443,true,FRA,Europe,Frankfurt,286,5.24
130.162.165.162,443,443,true,FRA,Europe,Frankfurt,287,5.22
143.47.240.53,443,443,true,FRA,Europe,Frankfurt,279,5.22
139.185.34.245,443,443,true,CDG,Europe,Paris,117,5.16
140.238.195.98,443,443,true,SYD,Oceania,Sydney,93,5.16
140.83.61.244,443,443,true,HKG,Asia Pacific,Hong Kong,78,5.13
152.69.178.16,443,443,true,MEL,Oceania,Melbourne,106,5.08
140.238.52.86,443,443,true,NRT,Asia Pacific,Tokyo,69,5.08
146.56.132.247,443,443,true,NRT,Asia Pacific,Tokyo,115,5.07
146.56.46.84,443,443,true,NRT,Asia Pacific,Tokyo,115,5.05
141.145.205.115,8443,8443,true,CDG,Europe,Paris,246,4.80
130.61.107.238,8443,443,true,FRA,Europe,Frankfurt,248,4.72
158.101.20.88,2053,443,true,LAX,North America,Los Angeles,231,4.65
64.110.103.69,443,443,true,KIX,Asia Pacific,Osaka,78,4.45
158.101.24.17,443,443,true,LAX,North America,Los Angeles,188,4.27
158.101.32.53,2053,443,true,LAX,North America,Los Angeles,182,4.22
130.61.239.203,2053,443,true,FRA,Europe,Frankfurt,247,4.22
130.61.109.6,8443,443,true,FRA,Europe,Frankfurt,254,4.18
158.178.145.162,443,443,true,FRA,Europe,Frankfurt,261,4.14
141.148.232.248,443,443,true,FRA,Europe,Frankfurt,316,4.14
152.70.60.233,443,443,true,FRA,Europe,Frankfurt,256,4.13
158.180.230.155,2053,443,true,MRS,Europe,Marseille,240,4.10
158.178.146.79,443,443,true,FRA,Europe,Frankfurt,318,4.08
158.101.216.100,443,443,true,FRA,Europe,Frankfurt,316,4.08
158.101.223.156,443,443,true,FRA,Europe,Frankfurt,318,4.07
129.146.213.36,80,443,true,LAX,North America,Los Angeles,172,3.98
141.144.253.109,443,443,true,FRA,Europe,Frankfurt,247,3.96
141.144.200.156,443,443,true,FRA,Europe,Frankfurt,312,3.95
158.101.203.109,443,443,true,FRA,Europe,Frankfurt,254,3.95
141.148.247.97,443,443,true,FRA,Europe,Frankfurt,260,3.94
129.153.213.8,443,443,true,LAX,North America,Los Angeles,209,3.90
168.138.201.0,443,443,true,NRT,Asia Pacific,Tokyo,80,3.89
158.101.212.233,443,443,true,FRA,Europe,Frankfurt,262,3.88
193.123.32.63,443,443,true,FRA,Europe,Frankfurt,340,3.88
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,254,3.87
152.70.56.209,8443,443,true,AMS,Europe,Amsterdam,254,3.85
132.226.212.201,443,443,true,FRA,Europe,Frankfurt,265,3.85
141.144.201.121,443,443,true,FRA,Europe,Frankfurt,253,3.85
